customer_id,age,income,tenure_months,monthly_spend,products_owned,support_tickets,email_engagement,website_visits,last_purchase_days,previous_campaign_response,total_revenue,service_cost,churned,cross_sell_response,campaign_response
C00001,46,58279.63,17.8,106.44,3,2,21.9,7,73,0,1956.59,159.31,0,0,1
C00002,30,51149.45,24.4,75.55,2,4,52.6,22,81,1,1700.74,249.36,0,0,0
C00003,51,37868.31,41.1,100.48,3,1,24.3,17,84,0,3584.73,113.98,0,0,0
C00004,53,137128.77,37.8,133.84,1,0,44.3,20,36,1,5163.28,79.38,0,1,1
C00005,19,122757.85,63.2,118.01,2,1,26.4,13,88,0,7154.5,152.19,1,0,0
C00006,26,93464.67,35.9,97.73,2,0,65.0,11,25,0,4023.95,98.27,0,1,1
C00007,44,39396.85,14.2,64.56,1,3,33.8,13,72,0,1051.63,196.56,1,0,0
C00008,38,83058.99,42.8,89.5,3,3,28.1,3,105,0,4441.29,201.59,1,0,1
C00009,42,75874.91,63.0,115.11,2,1,22.1,0,76,0,6705.46,108.33,1,1,1
C00010,32,69847.35,42.5,51.34,2,3,40.6,13,99,0,2282.47,214.98,1,0,0
C00011,53,98032.83,22.5,137.19,4,1,59.5,19,78,1,3302.81,124.48,1,0,1
C00012,51,75739.43,34.1,125.19,2,2,37.0,16,102,0,4528.9,141.48,1,0,0
C00013,43,79142.42,46.9,113.9,2,1,61.3,19,67,0,5194.86,127.52,1,1,0
C00014,56,75788.28,22.2,102.48,1,0,12.1,8,92,0,2508.09,89.34,0,1,1
C00015,48,66925.19,28.1,98.28,2,3,37.9,6,52,0,2759.46,222.35,1,1,1
C00016,32,27421.47,30.8,97.68,1,2,42.1,12,117,1,3041.34,165.79,0,1,0
C00017,46,60073.2,33.8,105.01,1,3,40.5,4,94,1,3112.25,204.18,0,1,1
C00018,30,45917.32,34.9,121.46,3,0,47.9,4,33,0,4454.26,112.52,0,1,0
C00019,53,33882.88,3.0,111.7,2,1,32.9,14,7,0,329.68,126.03,1,0,1
C00020,41,117543.21,34.4,125.12,1,2,2.0,0,93,0,4468.7,179.08,1,0,0
C00021,40,119895.56,48.6,92.82,1,2,5.2,9,82,0,4599.0,158.87,1,0,1
C00022,34,102649.03,17.2,96.0,3,2,52.9,20,66,1,1679.4,176.34,1,0,1
C00023,57,64562.43,38.9,110.84,2,0,35.5,8,92,0,4300.0,63.49,1,0,1
C00024,40,102279.12,55.0,112.76,1,1,28.4,12,37,0,6596.11,119.55,0,1,0
C00025,37,58294.36,30.4,108.88,1,1,45.2,10,29,0,3257.13,108.79,0,0,0
C00026,38,63156.63,10.7,72.24,2,1,11.2,0,65,0,682.53,114.31,0,0,1
C00027,48,36641.63,20.2,61.55,2,2,26.9,10,59,0,1302.74,181.43,0,1,0
C00028,46,68523.68,53.3,95.67,1,0,28.0,7,73,1,4769.02,74.08,0,1,1
C00029,47,59489.81,12.1,76.87,1,0,9.3,3,61,0,831.99,91.21,1,0,0
C00030,47,33559.81,8.1,32.79,2,2,52.9,25,51,0,242.43,182.86,0,1,0
C00031,68,56766.15,47.8,106.18,2,1,53.7,7,56,1,5192.22,125.11,0,0,1
C00032,37,56089.95,33.6,43.52,2,0,33.8,12,44,1,1452.71,92.39,1,1,1
C00033,36,123398.47,72.5,80.18,1,1,54.8,10,61,0,4819.59,130.85,0,1,1
C00034,32,84437.58,35.7,145.56,2,1,15.9,11,67,0,5041.51,130.27,1,1,0
C00035,49,58279.48,50.7,165.44,3,1,56.8,17,52,0,9179.97,140.74,1,1,0
C00036,56,64388.41,31.1,64.96,2,1,38.2,13,49,0,1948.28,147.96,0,1,0
C00037,41,59087.08,44.6,87.47,2,3,18.3,2,79,0,3848.9,199.08,0,0,0
C00038,32,53261.79,41.3,77.35,1,1,27.5,5,59,0,3463.57,109.76,1,1,1
C00039,32,36811.99,27.9,118.88,1,2,8.0,9,99,0,3526.8,154.26,1,1,0
C00040,50,54434.67,25.6,80.87,2,2,46.3,22,64,1,2237.82,179.39,0,0,1
C00041,51,42397.18,29.3,94.08,3,0,66.0,20,37,0,2142.22,98.34,0,1,0
C00042,49,34305.66,41.1,111.28,1,1,31.7,5,60,0,5210.89,118.38,1,1,0
C00043,34,71891.37,50.5,73.76,1,0,2.0,2,71,0,3912.81,51.0,1,0,0
C00044,45,68359.06,30.6,102.94,1,3,8.3,17,156,1,3766.83,199.79,1,1,1
C00045,43,27385.83,42.6,41.55,2,1,38.5,12,48,0,1660.68,127.99,0,1,0
C00046,45,55087.09,38.6,72.16,1,1,21.7,15,51,0,2393.32,121.84,1,1,1
C00047,52,88114.54,55.6,62.84,2,3,2.0,0,98,0,3498.82,208.55,1,1,0
C00048,45,90497.03,30.1,80.79,2,1,56.2,15,54,0,2377.01,116.14,1,1,1
C00049,50,89236.89,41.6,151.3,3,1,57.4,19,42,0,6616.0,143.3,0,1,1
